allele_accession_id,effect_size,life_stage_name,marker_symbol,mp_term_name,p_value,parameter_name,parameter_stable_id,phenotyping_center,statistical_method,top_level_mp_term_name
NOT-RELEASED-50ad1fc41a,-1.1514336630868,Early adult,Aldh1l1,decreased bone mineral density,6.55561633596813e-05,Bone Mineral Density (excluding skull),IMPC_DXA_004_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6241474,1.0,Late adult,Erap1,abnormal liver morphology,0.0,Liver,KMPCLA_PAT_010_002,KMPC,Supplied as data,['liver/biliary system phenotype']
MGI:7425879,1.59794844989569,Late adult,Nsg2,increased circulating serum albumin level,2.4706947407406e-12,Albumin,KMPCLA_CBC_007_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['homeostasis/metabolism phenotype']
MGI:6386298,1.0,Late adult,Tmem175,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6729665,1.45174823624955,Late adult,Rtp4,increased mean platelet volume,9.59810172738331e-05,Mean platelet volume,KMPCLA_HEM_019_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6156314,1.93412549761829,Early adult,Lgr5,increased grip strength,2.85407193772371e-05,Forelimb grip strength measurement mean,IMPC_GRS_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336142,,Late adult,Ldaf1,abnormal coat/hair pigmentation,1.71981308934874e-08,Coat - color - back,KMPCLA_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6156346,1.0,E15.5,Slc25a1,edema,0.0,Edema,IMPC_GEO_064_001,KMPC,Supplied as data,['homeostasis/metabolism phenotype']
MGI:6404487,1.0,E12.5,Tars2,embryonic lethality prior to tooth bud stage,0.0,Outcome,IMPC_EVM_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:5776369,17.7285533280138,Early adult,Asb2,increased Ly6C-positive immature NK cell number,8.50884229673216e-26,NK Subsets (Q1),IMPC_IMM_054_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:5896365,2.15516518714097,Late adult,Aanat,hyperactivity,7.14309215677241e-07,Distance travelled - total,KMPCLA_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6156345,1.0,E9.5,Romo1,embryonic growth retardation,0.0,Delayed embryonic development,IMPC_GEL_063_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6336112,1.0,E18.5,Cep128,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:7461419,-1.84967628160859,Early adult,Ano4,decreased bone mineral content,1.8052516885098e-05,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:7461419,1.29203002346587,Early adult,Ano4,hyperactivity,2.85611498192697e-05,Whole arena average speed,IMPC_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336110,1.0,Early adult,Ammecr1l,"preweaning lethality, incomplete penetrance",,Homozygous males viability,IMPC_VIA_063_001,KMPC,Supplied as data,['mortality/aging']
MGI:5776369,-1.85642636113115,Early adult,Asb2,decreased total body fat amount,8.19325420825705e-05,Fat/Body weight,IMPC_DXA_009_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['adipose tissue phenotype']
MGI:6156345,1.0,E9.5,Romo1,embryonic growth retardation,0.0,Delayed embryonic development,IMPC_GEL_063_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6256794,1.0,E12.5,Tmem41b,embryonic lethality prior to tooth bud stage,0.0,Outcome,IMPC_EVM_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336134,,Middle aged adult,Slc24a3,abnormal coat/hair pigmentation,5.18834200305282e-06,Coat - color pattern - back,KMPCIP_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6306609,-2.13898122977508,Early adult,Spry4,decreased grip strength,2.31224299374501e-07,Forelimb and hindlimb grip strength normalised against body weight,IMPC_GRS_011_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336141,1.5230442977041,Early adult,Tmem132e,enhanced cued conditioning behavior,4.34498844595144e-05,Difference in Cue Tone and Cue Baseline % Freezing,IMPC_FEA_106_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6336115,,Late adult,Dapl1,abnormal coat/hair pigmentation,1.71981308934874e-08,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336141,1.0,E18.5,Tmem132e,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336131,3.9544278353482,Early adult,Qsox2,increased fasting circulating glucose level,1.01525783971013e-10,Fasted blood glucose concentration,IMPC_IPG_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6336148,-1.588905299918,Early adult,Tspan13,decreased prepulse inhibition,4.14512399248588e-05,% Pre-pulse inhibition - PPI2,IMPC_ACS_034_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['nervous system phenotype']
MGI:6336136,3.40626439007384,Early adult,Stmn2,hyperactivity,1.71347556696828e-06,Whole arena average speed,IMPC_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120711,1.0,E18.5,Npas3,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:7425649,-0.331981684390809,Early adult,Ehf,decreased locomotor activity,3.84322116047476e-05,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6256796,1.09797114192062,Early adult,Tmem72,increased hemoglobin content,1.70059456723326e-05,Hemoglobin,IMPC_HEM_003_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6256796,1.68364503740779,Early adult,Tmem72,increased startle reflex,1.93418576695449e-05,Response amplitude - S,IMPC_ACS_006_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336143,1.0,E12.5,Tmem17,abnormal blood vessel morphology,0.0,Vascular morphology,IMPC_GEM_073_001,KMPC,Supplied as data,['cardiovascular system phenotype']
MGI:6336141,1.0,Early adult,Tmem132e,"preweaning lethality, complete penetrance",0.0,Homozygous animals viability,IMPC_VIA_067_001,KMPC,Supplied as data,['mortality/aging']
MGI:6341959,,Early adult,Tmem163,abnormal coat/hair pigmentation,9.53155796719106e-05,Coat - color pattern - back,IMPC_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336141,1.0,E18.5,Tmem132e,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336148,2.89275432816912,Late adult,Tspan13,decreased thigmotaxis,7.60950924552339e-09,Center permanence time,KMPCLA_OFD_016_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336126,1.0,Early adult,Obp2b,enlarged kidney,0.0,Kidney,IMPC_PAT_017_002,KMPC,Supplied as data,"['renal/urinary system phenotype', 'growth/size/body region phenotype']"
MGI:6156327,-1.10966811283316,Early adult,Mdm1,short tibia,4.94741474779392e-05,Tibia length,IMPC_HWT_002_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight","['limbs/digits/tail phenotype', 'skeleton phenotype']"
MGI:6120719,1.0,E9.5,Phgdh,abnormal vitelline vasculature morphology,0.0,Vitelline vasculature morphology,IMPC_GEL_015_001,KMPC,Supplied as data,"['embryo phenotype', 'cardiovascular system phenotype']"
MGI:6156314,1.0,E18.5,Lgr5,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336148,-2.06952891784648,Early adult,Tspan13,decreased bone mineral content,9.3497169011962e-08,BMC/Body weight,IMPC_DXA_007_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['skeleton phenotype']
MGI:6156296,2.11201381603104,Late adult,Itgbl1,increased circulating triglyceride level,4.19090549618037e-07,Triglycerides,KMPCLA_CBC_017_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6336121,1.0,Early adult,Idh3a,"preweaning lethality, complete penetrance",0.0,Homozygous females viability,IMPC_VIA_064_001,KMPC,Supplied as data,['mortality/aging']
MGI:6120719,1.0,E18.5,Phgdh,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336129,2.45347453711897,Early adult,Pitpnc1,increased circulating alkaline phosphatase level,2.57097039986918e-05,Alkaline phosphatase,IMPC_CBC_014_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6156285,1.0,Late adult,Emd,abnormal seminal vesicle morphology,0.0,Seminal vesicle,KMPCLA_PAT_027_002,KMPC,Supplied as data,"['reproductive system phenotype', 'endocrine/exocrine gland phenotype']"
MGI:6336137,1.0,E18.5,Suox,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336117,2.22870366623779,Early adult,Edem1,increased mean platelet volume,9.07043434469056e-05,Mean platelet volume,IMPC_HEM_019_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6256796,2.06651751825804,Early adult,Tmem72,increased erythrocyte cell number,2.84370466811801e-06,Red blood cell count,IMPC_HEM_002_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['hematopoietic system phenotype']
MGI:6156345,1.40247549539121,Early adult,Romo1,increased circulating total protein level,2.0244509287756e-05,Total protein,IMPC_CBC_006_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6727864,4.10742663544726,Early adult,Dapk3,hyperactivity,2.38704044307635e-09,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6156346,1.0,E18.5,Slc25a1,abnormal embryo size,0.0,Embryo Size,IMPC_GEP_022_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6378717,0.973988439306358,Early adult,Mreg,abnormal auditory brainstem response,1.1633625881059e-06,24kHz-evoked ABR Threshold,IMPC_ABR_010_001,KMPC,Reference Range Plus Test framework; quantile = 0.95 (Tails probability = 0.025),['hearing/vestibular/ear phenotype']
MGI:6306609,0.290303738317757,Early adult,Spry4,abnormal cornea morphology,2.46289648652202e-05,Cornea,IMPC_EYE_007_001,KMPC,Fisher Exact Test framework,['vision/eye phenotype']
MGI:6156329,,Late adult,Mir129-2,abnormal coat/hair pigmentation,8.13971322473557e-05,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6341959,-0.531701174052699,Early adult,Tmem163,decreased lean body mass,3.85275063772625e-06,Lean/Body weight,IMPC_DXA_008_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['growth/size/body region phenotype']
MGI:6336122,1.15933518529999,Late adult,Letmd1,increased freezing behavior,6.24834167401291e-05,Cue Baseline % Freezing Time,KMPCLA_FEA_015_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['behavior/neurological phenotype']
MGI:6156292,3.95147058981339,Early adult,Hdac11,increased body length,3.48396446593857e-05,Body length,IMPC_DXA_006_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['growth/size/body region phenotype']
NOT-RELEASED-a747ca7c9c,1.87363479315972,Late adult,Ubxn4,increased total body fat amount,4.9348359673013e-06,Fat/Body weight,KMPCLA_DXA_009_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['adipose tissue phenotype']
MGI:7425738,1.0,E18.5,Hdac2,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6256796,0.747766526226671,Early adult,Tmem72,increased grip strength,5.67648008190861e-05,Forelimb grip strength measurement mean,IMPC_GRS_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120726,0.974683544303797,Early adult,Aqp9,abnormal auditory brainstem response,0.000205042366061227,30kHz-evoked ABR Threshold,IMPC_ABR_012_001,KMPC,Reference Range Plus Test framework; quantile = 0.95 (Tails probability = 0.025),['hearing/vestibular/ear phenotype']
MGI:6156298,-0.0884044274600802,Early adult,Klf4,decreased grip strength,2.29901869309483e-15,Forelimb and hindlimb grip strength measurement mean,IMPC_GRS_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6156329,,Late adult,Mir129-2,abnormal coat/hair pigmentation,8.13971322473557e-05,Coat - color - back,KMPCLA_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336126,1.0,Early adult,Obp2b,"preweaning lethality, incomplete penetrance",,Homozygous females viability,IMPC_VIA_064_001,KMPC,Supplied as data,['mortality/aging']
MGI:5776369,7.00939376452375,Early adult,Asb2,increased T cell number,3.22420374184397e-05,T Cells (panel B),IMPC_IMM_061_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6336126,1.0,Late adult,Obp2b,abnormal lymph node morphology,0.0,Lymph node,KMPCLA_PAT_020_002,KMPC,Supplied as data,['immune system phenotype']
MGI:6336149,1.51417138401763,Early adult,Tspan5,hyperactivity,1.11421442565169e-05,Whole arena average speed,IMPC_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336125,2.16920755627506,Early adult,Nrsn2,increased blood uric acid level,1.75177919950874e-06,Uric acid,IMPC_CBC_029_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6336134,-2.84139833344537,Early adult,Slc24a3,decreased respiratory quotient,3.07261033404738e-20,Respiratory Exchange Ratio,IMPC_CAL_017_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['homeostasis/metabolism phenotype']
MGI:6306609,-4.5538020907792,Early adult,Spry4,decreased grip strength,1.08529706541991e-16,Forelimb grip strength measurement mean,IMPC_GRS_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:7426045,-1.45584376196328,Late adult,Tmem88,short tibia,8.31943278450445e-05,Tibia length,KMPCLA_HWT_002_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight","['limbs/digits/tail phenotype', 'skeleton phenotype']"
MGI:6156326,1.0,Late adult,Lingo2,hydrometra,0.0,Uterus,KMPCLA_PAT_029_002,KMPC,Supplied as data,['reproductive system phenotype']
MGI:6120719,1.0,E15.5,Phgdh,abnormal head size,0.0,Head size,IMPC_GEO_016_001,KMPC,Supplied as data,['growth/size/body region phenotype']
MGI:6336111,2.36567266026533,Early adult,Anxa13,increased freezing behavior,6.21190516050151e-05,Conditioning Baseline % Freezing Time,IMPC_FEA_003_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
NOT-RELEASED-a747ca7c9c,-0.61433173394557,Late adult,Ubxn4,decreased grip strength,3.34092757761808e-05,Forelimb and hindlimb grip strength measurement mean,KMPCLA_GRS_009_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6120760,1.50805054764827,Early adult,Irx6,increased circulating phosphate level,5.43285615182913e-05,Phosphorus,IMPC_CBC_010_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6156292,3.05990710572969,Early adult,Hdac11,increased circulating alanine transaminase level,1.02660614678981e-13,Alanine aminotransferase,IMPC_CBC_013_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['homeostasis/metabolism phenotype']
MGI:6336114,0.214285714285714,Early adult,Col6a3,corneal vascularization,6.66510415140772e-05,Corneal vascularization,IMPC_EYE_009_001,KMPC,Fisher Exact Test framework,"['vision/eye phenotype', 'cardiovascular system phenotype']"
MGI:6336115,2.34108801495257,Late adult,Dapl1,decreased thigmotaxis,3.69752447290737e-05,Center permanence time,KMPCLA_OFD_016_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6341961,1.0,E9.5,Ik,embryonic lethality prior to organogenesis,0.0,Outcome,IMPC_EVL_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6336123,-2.026036437365,Early adult,Lrrn3,decreased bone mineral content,4.27861823523253e-06,Bone Mineral Content (excluding skull),IMPC_DXA_005_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6336137,1.0,E18.5,Suox,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336108,,Late adult,Afg1l,abnormal coat/hair pigmentation,1.48783830055286e-07,Coat - color - back,KMPCLA_CSD_005_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6256796,-1.68265215849892,Early adult,Tmem72,decreased bone mineral density,8.41824356068166e-06,Bone Mineral Density (excluding skull),IMPC_DXA_004_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['skeleton phenotype']
MGI:6336148,-2.29366469616351,Early adult,Tspan13,decreased fasting circulating glucose level,3.23854738951921e-05,Fasted blood glucose concentration,IMPC_IPG_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6156329,-1.39461092513744,Late adult,Mir129-2,decreased bone mineral content,3.74147651112166e-06,BMC/Body weight,KMPCLA_DXA_007_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, not including Weight",['skeleton phenotype']
MGI:6336110,1.0,E18.5,Ammecr1l,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6120719,1.0,E12.5,Phgdh,embryonic growth retardation,0.0,Delayed embryonic development,IMPC_GEM_075_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6336127,1.81003302515181,Late adult,Pank4,hyperactivity,2.9431975847034e-05,Distance travelled - total,KMPCLA_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336148,2.03867388394236,Early adult,Tspan13,increased total body fat amount,7.38074684763869e-06,Fat/Body weight,IMPC_DXA_009_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['adipose tissue phenotype']
MGI:6336109,,Late adult,Ak4,abnormal coat/ hair morphology,1.77630152471929e-05,Coat - hair distribution - back,KMPCLA_CSD_011_001,KMPC,Fisher Exact Test framework,['integument phenotype']
MGI:6156274,1.0,Late adult,Cav3,absent liver,0.0,Liver,KMPCLA_PAT_010_002,KMPC,Supplied as data,['liver/biliary system phenotype']
MGI:6306609,-4.41015625817032,Early adult,Spry4,decreased grip strength,1.07934600861917e-18,Forelimb grip strength measurement mean,IMPC_GRS_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6423316,1.0,Early adult,Phf7,male infertility,0.0,Gross Findings Male,IMPC_FER_001_001,KMPC,Supplied as data,['reproductive system phenotype']
MGI:6336117,2.28162900822418,Late adult,Edem1,increased bone mineral content,2.49053390519687e-12,BMC/Body weight,KMPCLA_DXA_007_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['skeleton phenotype']
MGI:6336122,,Late adult,Letmd1,increased heart weight,7.54528098978469e-06,Heart weight,KMPCLA_HWT_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['cardiovascular system phenotype', 'growth/size/body region phenotype']"
MGI:6336148,-2.89275432816912,Late adult,Tspan13,decreased thigmotaxis,7.60950924552339e-09,Periphery permanence time,KMPCLA_OFD_012_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336115,2.34124707426664,Late adult,Dapl1,abnormal behavior,3.69591589763941e-05,Percentage center time,KMPCLA_OFD_022_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6336143,1.0,E12.5,Tmem17,abnormal blood vessel morphology,0.0,Vascular morphology,IMPC_GEM_073_001,KMPC,Supplied as data,['cardiovascular system phenotype']
MGI:5776369,5.31230511922959,Early adult,Asb2,increased Ly6C-positive NK T cell number,6.40627209826938e-05,NKT Subsets (Q1),IMPC_IMM_059_001,KMPC,"Linear Mixed Model framework, LME, not including Weight","['immune system phenotype', 'hematopoietic system phenotype']"
MGI:6256796,-1.08900716000584,Late adult,Tmem72,decreased total body fat amount,7.39974058061216e-05,Fat/Body weight,KMPCLA_DXA_009_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['adipose tissue phenotype']
MGI:6162234,1.0,E18.5,Edem3,unresponsive to tactile stimuli,0.0,Responsive to tactile stimuli,IMPC_GEP_005_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6336108,,Late adult,Afg1l,abnormal coat/hair pigmentation,1.48783830055286e-07,Coat - color pattern - back,KMPCLA_CSD_008_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6156345,1.0,E12.5,Romo1,embryonic lethality prior to tooth bud stage,0.0,Outcome,IMPC_EVM_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:5776369,1.0,Early adult,Asb2,"preweaning lethality, complete penetrance",0.0,Viability Outcome,IMPC_VIA_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6729666,-1.68847643850814,Late adult,Zfp746,decreased bone mineral content,6.27407065082106e-08,BMC/Body weight,KMPCLA_DXA_007_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['skeleton phenotype']
MGI:6341961,1.0,Early adult,Ik,"preweaning lethality, complete penetrance",0.0,Viability Outcome,IMPC_VIA_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6156335,1.96131492326808,Early adult,Myc,increased startle reflex,6.48588250558434e-06,Response amplitude - S,IMPC_ACS_006_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6156347,0.602019900974631,Early adult,Tm4sf5,increased grip strength,3.44247956370913e-05,Forelimb and hindlimb grip strength measurement mean,IMPC_GRS_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120719,1.0,E18.5,Phgdh,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:5776369,1.0,E9.5,Asb2,pale yolk sac,0.0,Pale yolk sac,IMPC_GEL_017_002,KMPC,Supplied as data,['embryo phenotype']
MGI:6194941,1.80859126831267,Late adult,Tmem86a,increased blood urea nitrogen level,3.30656158881766e-05,Urea (Blood Urea Nitrogen - BUN),KMPCLA_CBC_004_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['homeostasis/metabolism phenotype']
MGI:6120726,-2.70189924256907,Early adult,Aqp9,short tibia,4.77550488494812e-06,Tibia length,IMPC_XRY_033_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['limbs/digits/tail phenotype', 'skeleton phenotype']"
MGI:6341961,1.86629731142293,Late adult,Ik,increased grip strength,9.28427979207367e-08,Forelimb and hindlimb grip strength measurement mean,KMPCLA_GRS_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6727864,1.0,E9.5,Dapk3,embryonic growth retardation,0.0,Delayed embryonic development,IMPC_GEL_063_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6509076,,Early adult,Hdac7,abnormal coat/hair pigmentation,4.08452636033814e-05,Coat - color - head,IMPC_CSD_006_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6336138,2.69486099899618,Early adult,Tfpi2,hyperactivity,8.37032937162461e-06,Distance travelled - total,IMPC_OFD_020_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
MGI:6120719,1.0,E12.5,Phgdh,abnormal eye morphology,0.0,Eye Morphology,IMPC_GEM_041_001,KMPC,Supplied as data,['vision/eye phenotype']
MGI:6509076,,Early adult,Hdac7,abnormal coat/hair pigmentation,3.27395256625239e-09,Coat - color - abdomen,IMPC_CSD_007_001,KMPC,Fisher Exact Test framework,"['integument phenotype', 'pigmentation phenotype']"
MGI:6156271,1.0,Early adult,Cav2,abnormal eye morphology,0.0,Eye with optic nerve,IMPC_PAT_002_002,KMPC,Supplied as data,['vision/eye phenotype']
MGI:6306609,0.6,Early adult,Spry4,abnormal digit morphology,3.00557883803717e-11,Number of digits,IMPC_XRY_028_001,KMPC,Reference Range Plus Test framework; quantile = 0.95 (Tails probability = 0.025),['limbs/digits/tail phenotype']
MGI:6156314,1.0,E18.5,Lgr5,cleft palate,0.0,Cleft palate,IMPC_GEP_076_001,KMPC,Supplied as data,"['digestive/alimentary phenotype', 'craniofacial phenotype', 'growth/size/body region phenotype']"
MGI:6336137,1.0,E18.5,Suox,no spontaneous movement,0.0,Spontaneous movement,IMPC_GEP_004_002,KMPC,Supplied as data,['behavior/neurological phenotype']
MGI:6156335,1.24709623547181,Early adult,Myc,increased grip strength,6.1002042987027e-05,Forelimb grip strength normalised against body weight,IMPC_GRS_010_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['behavior/neurological phenotype']
MGI:6156344,1.19005690238613,Late adult,Qsox1,increased heart weight,6.19977533803798e-05,Heart weight,KMPCLA_HWT_008_001,KMPC,"Linear Mixed Model framework, LME, including Weight","['cardiovascular system phenotype', 'growth/size/body region phenotype']"
MGI:6156346,1.0,E18.5,Slc25a1,embryonic growth retardation,0.0,Delayed embryonic development,IMPC_GEP_086_001,KMPC,Supplied as data,"['embryo phenotype', 'growth/size/body region phenotype']"
MGI:6120719,1.0,E15.5,Phgdh,hemorrhage,0.0,Hemorrhage,IMPC_GEO_009_002,KMPC,Supplied as data,['cardiovascular system phenotype']
MGI:6336129,2.06958796066786,Early adult,Pitpnc1,increased lean body mass,2.19432870445056e-06,Lean/Body weight,IMPC_DXA_008_001,KMPC,"Linear Mixed Model framework, LME, not including Weight",['growth/size/body region phenotype']
MGI:6156346,1.0,Early adult,Slc25a1,"preweaning lethality, complete penetrance",0.0,Viability Outcome,IMPC_VIA_001_001,KMPC,Supplied as data,['mortality/aging']
MGI:6509076,1.16615894835495,Early adult,Hdac7,abnormal cholesterol homeostasis,8.83100103538902e-07,Cholesterol ratio,IMPC_CBC_058_001,KMPC,"Linear Model Using Generalized Least Squares framework, GLS, including Weight",['homeostasis/metabolism phenotype']
MGI:6336127,1.81974873599883,Late adult,Pank4,hyperactivity,2.35800326139278e-05,Whole arena average speed,KMPCLA_OFD_009_001,KMPC,"Linear Mixed Model framework, LME, including Weight",['behavior/neurological phenotype']
